time_s,reference_rad_s,pid_speed_rad_s,ml_speed_rad_s,pid_voltage_v,ml_voltage_v,disturbance_torque_nm
2.34,1,1.00257,1.00274,10.0075,10.0071,0
2.35,1,1.00252,1.00268,10.0076,10.0072,0
2.36,1,1.00246,1.00262,10.0076,10.0072,0
2.37,1,1.00241,1.00256,10.0076,10.0073,0
2.38,1,1.00235,1.0025,10.0077,10.0073,0
2.39,1,1.0023,1.00245,10.0077,10.0074,0
2.4,1,1.00225,1.00239,10.0078,10.0074,0
2.41,1,1.0022,1.00234,10.0078,10.0075,0
2.42,1,1.00215,1.00229,10.0078,10.0075,0
2.43,1,1.0021,1.00224,10.0079,10.0075,0
2.44,1,1.00206,1.00219,10.0079,10.0076,0
2.45,1,1.00201,1.00214,10.008,10.0076,0
2.46,1,1.00197,1.00209,10.008,10.0077,0
2.47,1,1.00192,1.00204,10.008,10.0077,0
2.48,1,1.00188,1.002,10.0081,10.0078,0
2.49,1,1.00184,1.00195,10.0081,10.0078,0
2.5,1,1.0018,1.00191,10.0081,10.0078,0
2.51,1,1.00176,1.00187,10.0082,10.0079,0
2.52,1,1.00172,1.00182,10.0082,10.0079,0
2.53,1,1.00168,1.00178,10.0082,10.008,0
2.54,1,1.00164,1.00174,10.0083,10.008,0
2.55,1,1.00161,1.0017,10.0083,10.008,0
2.56,1,1.00157,1.00166,10.0083,10.0081,0
2.57,1,1.00153,1.00163,10.0084,10.0081,0
2.58,1,1.0015,1.00159,10.0084,10.0081,0
2.59,1,1.00147,1.00155,10.0084,10.0082,0
2.6,1,1.00143,1.00152,10.0085,10.0082,0
2.61,1,1.0014,1.00148,10.0085,10.0083,0
2.62,1,1.00137,1.00145,10.0085,10.0083,0
2.63,1,1.00134,1.00142,10.0086,10.0083,0
2.64,1,1.00131,1.00139,10.0086,10.0084,0
2.65,1,1.00128,1.00135,10.0086,10.0084,0
2.66,1,1.00125,1.00132,10.0086,10.0084,0
2.67,1,1.00122,1.00129,10.0087,10.0084,0
2.68,1,1.0012,1.00126,10.0087,10.0085,0
2.69,1,1.00117,1.00124,10.0087,10.0085,0
2.7,1,1.00114,1.00121,10.0088,10.0085,0
2.71,1,1.00112,1.00118,10.0088,10.0086,0
2.72,1,1.00109,1.00115,10.0088,10.0086,0
2.73,1,1.00107,1.00113,10.0088,10.0086,0
2.74,1,1.00104,1.0011,10.0089,10.0087,0
2.75,1,1.00102,1.00108,10.0089,10.0087,0
2.76,1,1.001,1.00105,10.0089,10.0087,0
2.77,1,1.00097,1.00103,10.0089,10.0087,0
2.78,1,1.00095,1.001,10.0089,10.0088,0
2.79,1,1.00093,1.00098,10.009,10.0088,0
2.8,1,1.00091,1.00096,10.009,10.0088,0
2.81,1,1.00089,1.00094,10.009,10.0088,0
2.82,1,1.00087,1.00091,10.009,10.0089,0
2.83,1,1.00085,1.00089,10.0091,10.0089,0
2.84,1,1.00083,1.00087,10.0091,10.0089,0
2.85,1,1.00081,1.00085,10.0091,10.0089,0
2.86,1,1.00079,1.00083,10.0091,10.009,0
2.87,1,1.00078,1.00081,10.0091,10.009,0
2.88,1,1.00076,1.0008,10.0091,10.009,0
2.89,1,1.00074,1.00078,10.0092,10.009,0
2.9,1,1.00072,1.00076,10.0092,10.009,0
2.91,1,1.00071,1.00074,10.0092,10.0091,0
2.92,1,1.00069,1.00073,10.0092,10.0091,0
2.93,1,1.00068,1.00071,10.0092,10.0091,0
2.94,1,1.00066,1.00069,10.0093,10.0091,0
2.95,1,1.00065,1.00068,10.0093,10.0091,0
2.96,1,1.00063,1.00066,10.0093,10.0092,0
2.97,1,1.00062,1.00065,10.0093,10.0092,0
2.98,1,1.0006,1.00063,10.0093,10.0092,0
2.99,1,1.00059,1.00062,10.0093,10.0092,0
3,1,1.00058,1.0006,10.0093,10.0092,0
3.01,1,1.00056,1.00059,10.0094,10.0092,0
3.02,1,1.00055,1.00057,10.0094,10.0093,0
3.03,1,1.00054,1.00056,10.0094,10.0093,0
3.04,1,1.00052,1.00055,10.0094,10.0093,0
3.05,1,1.00051,1.00054,10.0094,10.0093,0
3.06,1,1.0005,1.00052,10.0094,10.0093,0
3.07,1,1.00049,1.00051,10.0094,10.0093,0
3.08,1,1.00048,1.0005,10.0094,10.0094,0
3.09,1,1.00047,1.00049,10.0095,10.0094,0
3.1,1,1.00046,1.00048,10.0095,10.0094,0
3.11,1,1.00045,1.00047,10.0095,10.0094,0
3.12,1,1.00044,1.00045,10.0095,10.0094,0
3.13,1,1.00043,1.00044,10.0095,10.0094,0
3.14,1,1.00042,1.00043,10.0095,10.0094,0
3.15,1,1.00041,1.00042,10.0095,10.0094,0
3.16,1,1.0004,1.00041,10.0095,10.0095,0
3.17,1,1.00039,1.0004,10.0095,10.0095,0
3.18,1,1.00038,1.0004,10.0096,10.0095,0
3.19,1,1.00037,1.00039,10.0096,10.0095,0
3.2,1,1.00036,1.00038,10.0096,10.0095,0
3.21,1,1.00035,1.00037,10.0096,10.0095,0
3.22,1,1.00035,1.00036,10.0096,10.0095,0
3.23,1,1.00034,1.00035,10.0096,10.0095,0
3.24,1,1.00033,1.00034,10.0096,10.0095,0
3.25,1,1.00032,1.00034,10.0096,10.0096,0
3.26,1,1.00032,1.00033,10.0096,10.0096,0
3.27,1,1.00031,1.00032,10.0096,10.0096,0
3.28,1,1.0003,1.00031,10.0096,10.0096,0
3.29,1,1.0003,1.00031,10.0097,10.0096,0
3.3,1,1.00029,1.0003,10.0097,10.0096,0
3.31,1,1.00028,1.00029,10.0097,10.0096,0
3.32,1,1.00028,1.00028,10.0097,10.0096,0
3.33,1,1.00027,1.00028,10.0097,10.0096,0
3.34,1,1.00026,1.00027,10.0097,10.0096,0
3.35,1,1.00026,1.00027,10.0097,10.0096,0
3.36,1,1.00025,1.00026,10.0097,10.0097,0
3.37,1,1.00025,1.00025,10.0097,10.0097,0
